BRITANKE-DOLGODLAKI BRITANEC IŠČE SAMICO ZA PARITEV,"Za paritev naš nadebudni britanec čistokrvni vendar brez rodovnika išče samico.Mačkon je redno cepljen, čipiran s potnim listom, veterinarsko pregledan,","170,00 €"
Mačja mladiča,Podarim 2 mlada mucka. En samec in ena samička. Še nista za oddajo bosta pa približno za kaki mesec. Za več informacij in slike pišite na inez.balazic@gmail.com,Podarim
Mlada mucka igriva navajena čistoče,Podarim mlado mucko staro 3 mesce,Podarim
Podarim mlada mucka,"Podarim dva mlada mucka, samca, rojena 18. 7. (sivo-bele barve) in 28. 7. 2016 (črno-bele). Sta potomca dobrih lovcev, navajena na naravo in ljudi ter",Podarim
Podarim mucka stara mesec in pol,"Podarim 2 mucka, brez rodovnika stara mesec in pol. En samček in ena samička. Lahko posamično ali oba skupaj. Nahajam se v centru Ljubljane. Kontakt na:",Podarim
SALLY,"SALLY - samička - odrasla Sally je edina od legla, ki je še ostala z nami. Sally je simpatična, igriva, prava mačja navihanka . Veterinarsko pregledana,",Po dogovoru
Muc SCOOBY,"SCOOBY - samček - mlad Več info: 030 926 440 macja.preja@gmail.com ---------------------------------------- Muc je v domači oskrbi prostovoljk, oddaja",Po dogovoru
Muc SVEN,"SVEN - samček - mlad Več info: 030 926 440 macja.preja@gmail.com ---------------------------------------- Muc je v domači oskrbi prostovoljk, oddaja se",Po dogovoru
Muca SAJA,SAJA - samička - mlada Oddaja se preko Društva Mačja Preja Več info: 030 926 440 macja.preja@gmail.com ---------------------------------------- Muca je,Po dogovoru
Muca SANA,SANA - samička - mlada Oddaja se preko Društva Mačja Preja Več info: 030 926 440 macja.preja@gmail.com ---------------------------------------- Muca je,Po dogovoru
Muca TIGRIS,"TIGRIS - samička - odrasla Več info: 030 926 440 macja.preja@gmail.com ---------------------------------------- Muca je v domači oskrbi prostovoljk, oddaja",Po dogovoru
Prijazen in scerkljan mucek,"Mucek je zelo prijazen, scerkljan in igriv. Star je nekaj mesecev in ima gostejšo črno dlako, na vratu pa nekaj belih dlačic. Je zelo čist in navajen tudi",Podarim
Ragdoll muce,"Modrooki RAGDOLL mladički v barvi blue mitted in seal mitted, cepljeni, kastrirani, redno razčrvičeni, redno veterinarsko pregledani in z zdravstveno garancijo,","750,00 €"
Muca Stella,"Približno 10 mesečna zelo prijazna mucka z daljšo dlako je veterinarsko pregledana, očiščena zajedalcev, negativna na FIV/FeLV in sterilizirana. Išče prijazen",Podarim
Muca Beccy,"Beccy je prijazna dveletna muca, negativna na FIV/FeLV, cepljena proti kužnim boleznim in sterilizirana. Išče prijazen in varen dom. Kontakt 051 314 102.",Podarim
Mucka Luna,Zelo crkljiva in živahna Luna je veterinarsko pregledana in očiščena zajedalcev .Čaka na odgovornega in prijaznega posvojitelja. Kontakt 051 314 102.,Podarim
Mucka Mimi,"Štirimesečna Mimi išče varen in prijazen dom. Bila je ujeta v past, vendar se je tačka popolnoma pozdravila. Je razbolhana in razglistena. Kontakt 051",Podarim
Muc Garfield,"Prijazni štiri- do petmesečni Garfield išče varen in prijazen dom. Je veterinarsko pregledan, razbolhan, razglisten, negativen na FIV/FeLV in kastriran",Podarim
Scottish fold straight muca,"Scotish fold muca s pokončnimi ušesi. Rojen 20.06. Pripravljen za nov dom, cepljena, čipirana. Socializirani, ljubki, ki se uporablja za otroke. Starši,","350,00 €"
"Maine coon,perzijski mladicki mesancki",Avgusta so se skotili 4 cudoviti mladicki mesani med maine coon in perzijskim mucom. Mucki ze jejo samostojo hrano in so navajeni na macji wc. Na voljo,"150,00 €"
MLADA MUCKA IŠČE DOM,Podarimo mlado mačko. Za oddajo bo primerna v začetku novembra. Je zelo prijazna in igriva. Primerna za stanovanje ali vrt.,Podarim
Podarim muco,Pozdravljeni vsi kateri bi radi imeli muco za hišnega ljubljenčka. Podarim zelo priljubljeneno muco ki je moškega spola.Zelo rad se igra in je navajen,Podarim
Oddam mlade mucke,"Oddam mlade mucke, so zdravi in razigrani. Sedaj so stari 9 tednov, že jejo brikete in meso... Po zakonu jih lahko oddam z dopolnjenim dvanajstim tednom",Podarim
Oddam dve mladi muci,"Prijaznim ljudem podarimo mladi muci, samčka (slika 1, 2) ali samičko (slika 3, 4). Stara sta 2 meseca in že jesta brikete ter tudi drugo hrano. Muci sta",Podarim
Himalajski perzijci,Mucki so razglisteni in navajeni na mačji wc. Za več informacij pokličite na: 041-676-806 ali 031-686-403.,"300,00 €"
Mucka Roxy,"Zelo crkljiva trimesečna Roxy je veterinarsko pregledana, očiščena zajedalcev , cepljena proti kužnim boleznim in testirana-negativna na FIV/FeLV.. Čaka",Podarim
"Blacky, Lana, Vinka in Igi","2 bratca in 2 sestrici iščejo prijazne in varne domove. So veterinarsko pregledani, očiščeni notranjih in zunanjih zajedalcev ter cepljeni proti kužnim",Podarim
Aleks in Leksa,"Bratec in sestrica Aleks in Leksa iščeta prijazen in varen dom, ne nujno skupnega. Očiščena sta notranjih in zunanjih zajedalcev, negativna na FIV/FeLV",Podarim
Mucek Spock išče dom!,"Tigrast mucek Spock, 3 mesece star, išče dom, je zelo socializiran in crkljiv. Je zadnji od 4 zavrženih, tigrastih muc, da dobi dom. Njihov rešitelj je",Podarim
SIBIRSKA MAČKA - NEVA MASQUERADE,"Mačkarna sibirskih mačk/ Neva Masquerade ""SNEZHNIY BARS"" proda zelo kvalitetne mladičke v barvi seal-silver tabby point z belinami in popolnoma belo mladičko.","1.000,00 €"
Iščemo nov dom za dva mucka,"Oddamo dva mlada mucka z daljšo dlako, bratca in sestrico, stara približno dva meseca in pol (skotena okrog 15. julija). Lahko skupaj ali pa vsakega posebej.",Podarim
MAINE COON,Na razpolago imamo mladičke muck pasme Maine Coon. Za več informacij nas kontaktirajte na tel. št.: 070 595 753 ali pišite na e-mail: severlaz80@gmail.com.,"300,00 €"
Kratkodlaka perzijska muca,Prodamo kratkodlako sivo bele barve perzijsko muco.vec informacij na sporocilo.rojena je bila 4.4.2016. 041859936,"180,00 €"
mlade muce,mucek(MOŠKEGA SPOLA) IŠČE NOVI DO..SMO IZ SLOV.KONJIC! ŠTEVILKA 070402756,"10,00 €"
donsfing,gsm 040506402 prodam malega macaka starega 4 mesece.zelo prijazen.hodi na svoj wc in ima rad bljizino ljudi,"200,00 €"
maine coon mladički,Madiči obeh spolov cepljeni vet pregledani oba starša imamo doma.Na slikah naši mladići in starša.068 649 892,Po dogovoru
MAINE COON mladički,"Na svet so pokukali mali mainekunčki, ki so sedaj že dovolj samostojni, da odidejo k svojim novim družinam. Maine coon je pasma mačke v katero se zaljubiš","320,00 €"
podarim dve muci,Oddam samčka in samičko roj. 17.07.16 051853153,Podarim
Muc Miki,"Miki je prijazen, nekoliko nezaupljiv dveletni muc, pozitiven na FeLV (levkoza). Išče dom, kjer bo edini muc ali pa bi delal družbo pozitivnemu mucku ali",Podarim
Muc Luka,"Prijazni štirimesečni Luka išče varen in prijazen dom, kjer ga bodo zelo crkljali. Je veterinarsko pregledan, razbolhan, razglisten , cepljen proti kužnim",Podarim
oddamo male mucke,"Oddamo male mucke, ki so se skotili avgusta. So igrivi. Že jejo brikete junior in mačjo hrano junior. (tel.: 041-475 971",Podarim
Mladi mucki,"Podarimo tri mlade mucke. So igrivi, nagajivi in crkljivi. Navajeni so na čistočo v stanovanju. Tel 031 343 159",Podarim
PODARIMO ŠTIRI MLADE MUCE,"V ljubečo družino oddamo muce, odraščajo na ekološki kmetiji in so vajene živali, tudi psov... Najraje bi videli, da gredo v paru lahko pa tudi posamezno.",Podarim
Prisrčen tigrast mucek išče dom,"Podarim majhnega mucka, starega okoli 2 meseca, samčka. Bil je najden v okolici Ljubljane okoli 2 tedna nazaj in bi ga z veseljem obdržala, vendar se ne",Podarim
oddaja muc,Svoj novi dom iščejo tri mlade muce skotene 12.7.2016. Muce so navajene mačjega stranišča in pasje družbe. Oddajomo jih izključno ljubiteljem živali. Za,Podarim
Podarim mucke,"Igrivi in crkljivi mucki iščejo novega lastnika. Za oddajo so že pripravljeni, skoteni so bili konec julija. Mucki so vajeni ostalih živali in človekove",Podarim
kupim perzijko ali britanko,kupim perzijko ali britanko ponudbe v zasebca..... pa ne nekih cen za 300e ali pa 400 lp,Kupim
Mali muc,"Podarimo malega muca, najdenega v stari podrti hiši na koncu vasi. Star je približno mesec in pol, mamico je povozil avto in je tako ostal sam. Zelo rad",Podarim
oddamo mačje mladiče,"Nov dom iščejo prikupni mačji mladički - 4 fantki in ena punčka. So zdravi, razglisteni, navajeni mačjega stranišča, družbe odraslih mačk in psa.Vse info",Podarim
podarim muce,podarim majhne mucke 031393476,Podarim
podarim muco,Podarim muco. Muca je vajena mačjega stranišča in pasje družbe. Podarim jo ljubiteljem živali. za več inf. pokličite na 031534097 ( po 16.00 ) ali pišite,Podarim
Britanska mačka-mladički,"Na voljo imamo Britanske mladičke (domače leglo), na voljo so dve samički in en samček, barve black silver tabby ter golden spotted tabby. Mucki bodo veterinarko","350,00 €"
Podarimo mlado mačko,"Podarimo skoraj pol leta staro mlado mačko. Mucka je prijazna, igriva, zdrava. Primerna za otroke. Lahko biva v stanovanju ali na vrtu.",Podarim
oddamo male muce,"oddamo 2 mali uci, ki sta navajeni na psa. za oddajo bosta na voljo čez približno 10 dni.",Podarim
Podarimo mlade mucke,"Pred nekaj dnevi se je k nam zatekla muca s petimi mladički. Zdaj za njih skrbimo, saj nimamo srca, da bi jih odgnali. Mucki so sicer malo plašni, ampak",Podarim
perzijske mačke -exot (kratkodlaka perzijka),Na voljo imamo še dva mucka pasme EXOT(kratkodlake perzijke)..Na voljo 1 samček(Maxin) in 1 samički (Meggie).Dopolnila sta 3 mesece. Imata že opravljeno,Po dogovoru
perzijske mačke -exot,"Sprejemamo rezervacije za leglo prekrasnih malih kepic.V leglu so tri samičke in en samček (Ronalda, Rizla, Rolada in Ramirez).Male mačkice bodo primerne","350,00 €"
Odrasli Sibirska mačka in Neva Masquerade iščeta skupni dom,"Dve odrasli sterilizirani samički pasme Sibirska mačka in Neva Masquerade iščeta dom. Pogoj je, da sta v skupnem notranjem domu, ker sta izredno navezani","400,00 €"
Podarim malega mucka,"Dobrim ljudem podarim pol leta starega mucka Jošta, je veterinarsko oskrbljen, kastriran, cepljen, uporablja mačji wc, je zelo igriv in scrkljan. Za več",Podarim
"PODARIM mucko crne barve, staro 13 tednov","PODARIM mucko crne barve, staro 13 tednov, macka je nebojeca in prijazna. Nahajam se v okolici Ljubljana-Medvode. 040 236 622",Podarim
mladi mucki,"Prodam tri prikupne oranžne mucke, ki bodo za oddajo primerne čez približno mesec dni. Sobivajo s psom in zajčkom v hiši, pa tudi zunaj. So igrive in prijazne.","40,00 €"
Oddam mucka,"3 mesece star mucek išče nov dom. Je zdrav, igriv, čist (navajen na pesek) in socializiran. Lahko je zunanji ali pa hišni, trenutno je z mamico zunaj.",Podarim
mucke,podarim muscke stare 4 mesece.,Podarim
Dolgodlak temno-rjav muc in mucica,"Prodamo ljubka dolgodlaka izredno lepa mucka (muc in mucica). Sta sicer potomca siamske muce, (ki je veterinarsko pregledana in redno cepljena) vendar","55,00 €"
Dolgodlak črno bel muc,"Prodamo ljubkega dolgodlakega izredno lepega mačkona (muc). Je sicer potomec siamske muce, (ki je veterinarsko pregledana in redno cepljena) vendar drugačne","25,00 €"
MLADA MUCA,Oddamo mlado muco,Podarim
MLADA MUCA,Oddamo mlado muco,Podarim
MUCKI mladi Ljubljana-Brezovica,Podarim štiri mlade mucke tel.št: 051/249 713 Robi,Podarim
MUCKI mladi Ljubljana-Brezovica,Podarim štiri mlade mucke tel.št: 051/249 713 Robi,Podarim
Britanka viskas,Mali pasemski muce 030646855,"350,00 €"
Mlade mucke,"Oddam 3 mlade mucke (samičke), ki bodo kmalu stare 2 meseca. 
Več informacij na:
tina.velikonja5665@gmail.com
ali
041651417",Podarim
Maine coon,"Prodam samčka in samičko črne barve, z daljšo in gosto dlako. Sta zelo cartljiva in igriva, navajena bivanja znotraj in zunaj.","200,00 €"
Oddamo mlada mucka,"Oddamo dva mucka, prvi je črno-bel (punčka), drugi pa oranžno-bel (fantek). Smo iz okolice Nakla. Pokličete lahko na telefon",Podarim
Podarim mačka,"Prijaznim lastnikom podarim mačka Lumpija, ki je star 2 leti in pol. Pred enim letom smo ga posvojili iz zavetišča, a ga",Podarim
Mladi mucki,Skrbnim lastnikom podarjam živahne in prijazne mlade mucke. Skotili so se aprila. Na voljo je 9 muckov; 2 črnobela (samec,Podarim
PODARIM tri male mucke,"Na voljo so 3 male mucike. Zelo so lepe. Spola še ne vemo točno, mislimo da sta sve samički in en samček. Nujno potrebujejo",Podarim
ragdoll mladicek,Prodam ragdoll mladicka starega 3 mesece. Je zelo prijazen in igriv.Vec info in slike na številki 040 254 531. Na email ne,"180,00 €"
podarim 4 mačke,"podarim

telefon: 070/712/090(marija)",Podarim
Mladi mucki iščejo nov dom,"Oddamo mlade mucke. So zelo prijazni in igrivi.
 031373903",Podarim
Oddamo 3 mesece staro muco,"Dobrim lastnikom podarimo mlado muco staro 3 mesece. Muca je bele barve z oranžnimi progami, navajena čistoče in ""mačjega",Podarim
Podarim mucka in mucko,"Oddam dva mačja mladiča, samčka in samičko. Skotila sta se 5. julija. Sta zelo lepa, navihana in razigrana, pravi mali dlakavi",Podarim
Muc ARČI,"ARČI - samček - mlad 


Več info:
030 926 440
macja.preja@gmail.com

----------------------------------------
Muc",Po dogovoru
Muca ISSA,"ISSA - samička

Več info:
030 926 440
macja.preja@gmail.com

----------------------------------------
Muca je v domači",Po dogovoru
Muc AXI,"AXI - samček - mlad

Več info:
030 926 440
macja.preja@gmail.com

----------------------------------------
Muc je",Po dogovoru
Muca PETKA,"PETKA - samička

Petka je bila čisto majcena kepica, ko je bila najdena zapuščena na cesti na... ja, seveda, na petek.",Po dogovoru
Muca HOLLY,"HOLLY - samička - odrasla

Holly je prijazna, umirjena in cartljiva muca. Rada ima mačjo družbo, še rajši pa človeško.

Več",Po dogovoru
Muca BUCKA,"BUCKA - samička

Bila je zavržena z mamo muco, z bratcem in sestrico. 
Hraniteljici, 
ki jih je dobila na lokaciji, so",Po dogovoru
Muc CIPOLLINO,"CIPOLLINO - samček

Več info:
030 926 440
macja.preja@gmail.com

----------------------------------------
Muc je v",Po dogovoru
